District,Age
Chitwan,40
Siraha,15
Kathmandu,17
Saptari,13
Bardiya,23
Kathmandu,18
Palpa,52
Pyuthan,25
Achham,16
Arghakhanchi,36
Udayapur,34
Saptari,70
Jajarkot,13
Rasuwa,11
Rasuwa,6
Baitadi,17
Kanchanpur,6
Saptari,17
Bardiya,6
Mugu,28
Bardiya,13
JHapa,15
Dolpa,12
Banke,15
Gorkha,21
Rasuwa,15
Morang,17
Rupandehi,21
Nawalpur,NA
Morang,19
Dailekh,63
Dang,11
Kathmandu,NA
Sunsari,22
Bardiya,14
Ramechhap,6
Siraha,15
Mahottari,22
Lalitpur,16
Nawalpur,17
Kanchanpur,NA
Parasi,22
Bajhang,3
Kailali,NA
Jhapa,14
Siraha,15
Udayapur,15
Jajarkot,17
Kanchanpur,19
Sankhuwasabha,35
Nawalpur,NA
Lalitpur,16
Parbat,14
Dolakha,71
Sunsari,NA
Kailali,22
Bara,14
Bara,19
Lalitpur,16
Udayapur,14
Parsa,15
Bardiya,17
Tanahu,42
Sunsari,20
Kavrepalanchok,18
Sankhuwasabha,16
Kathmandu,NA
Kathmandu,19
Dailekh,42
Taplejung,45
Kathmandu,32
Bhojpur,NA
Bhaktapur,11
Surkhet,25
Surkhet,64
Parasi,22
Rupandehi,14
Kanchanpur,15
Makwanpur,14
Chitwan,12
Kailali,12
Baitadi,40
Udayapur,22
Surkhet,42
Baglung,NA
Kathmandu,9
Jhapa,4
Parasi,2
Dadeldhura,22
Lalitpur,14
Kanchanpur,14
Kathmandu,36
Sindhupalchok,6
Bardiya,15
Rupandehi,7
Parasi,9
Gulmi,10
Makwanpur,65
Kailali,17
Parasi,35
Dolpa,14
Makwanpur,48
Makwanpur,23
Kathmandu,30
Dang,34
Saptari,17
Ilam,13
Saptari,18
Siraha,14
Kanchanpur,14
Bardiya,15
Rupandehi,7
Bara,14
Kanchanpur,3
Rautahat,11
Syangja,15
Siraha,19
Siraha,14
Siraha,14
Bhaktapur,14
Sunsari,19
Kathmandu,NA
Bhaktapur,16
Solukhumbu,21
Lalitpur,NA
Kailali,15
Dang,15
Dang,17
Dang,58
Myagdi,54
Nawalpur,40
Kailali,NA
Siraha,14
Saptari,4
Panchthar,NA
Kanchanpur,18
Darchula,13
Parasi,14
Bara,32
Morang,NA
Dolakha,14
