District,P or V,Ethnicity code
Siraha,P,MDS
Khotang,P,DLT
Surkhet,P,DLT
Makwanpur,P,BMN
Mugu,P,REG
Makwanpur,P,AVS
Parsa,P,MSLM
Siraha,P,MDS
Ilam,P,CHT
Kathmandu,P,DLT
Kathmandu,P,DLT
Makwanpur,P,AVS
Dhading,P,CHT
Australia,P,OTR
Tanahu,P,CHT
Kathmandu,P,DLT
Kavrepalanchok,P,DLT
Parasi,P,BMN
Kapilvastu,P,DLT
Udayapur,P,DLT
Siraha,P,AVS
Jhapa,P,DLT
Terhathum,P,AVS
Siraha,P,MDS
Siraha,P,MDS
Gulmi,P,DLT
Gulmi,P,CHT
Gulmi,P,CHT
Baitadi,P,BMN
"India, Gorakhpur",P,MSLM
Siraha,P,MDS
Saptari,P,MDS
Gorkha,P,MSLM
Ilam,P,CHT
Bhaktapur,P,AVS
Ramechhap,P,AVS
Myagdi,P,MDS
Myagdi,P,CHT
Udayapur,P,JNJT
Khotang,P,AVS
Udayapur,V,DLT
Udayapur,P,MDS
Kathmandu,P,BMN
Bhojpur,P,AVS
Saptari,P,MDS
Saptari,P,MSLM
Udayapur,P,AVS
Siraha,P,OTR
Chitwan,P,BMN
Chitwan,P,AVS
Tanahu,P,AVS
Siraha,P,AVS
Siraha,P,BMN
Terhathum,P,DLT
Bhojpur,P,AVS
Lalitpur,P,MDS
Kavrepalanchok,P,CHT
Banke,P,AVS
Kathmandu,P,JNJT
Okhaldhunga,P,AVS
India,P,MDS
Darchula,P,AVS
Banke,P,AVS
Bardiya,P,BMN
Bardiya,P,OTR
Parbat,P,CHT
Bhaktapur,P,CHT
Jhapa,P,AVS
Rukum West,P,CHT
Rupandehi,P,CHT
Bhaktapur,P,CHT
Dang,P,DLT
Udayapur,P,DLT
Rukum East,P,BMN
Ramechhap,P,CHT
Bara,P,AVS
Bara,P,CHT
Saptari,P,MDS
Nawalpur,P,AVS
Chitwan,P,DLT
Kavrepalanchok,P,DLT
Kavrepalanchok,P,AVS
Mugu,P,REG
Siraha,P,MDS
Siraha,P,AVS
Chitwan,P,DLT
Dang,P,CHT
Rupandehi,P,BMN
Siraha,P,MDS
Bhojpur,P,AVS
Bara,P,DLT
Bara,P,MDS
Rautahat,P,OTR
Parasi,P,MDS
Sunsari,P,AVS
Terhathum,P,BMN
Rupandehi,P,JNJT
Rupandehi,P,MDS
Siraha,P,DLT
Makwanpur,P,CHT
Parsa,P,MDS
Palpa,P,KAVS
Arghakhanchi,P,JNJT
Chitwan,P,OTR
Tanahu,P,OTR
Tanahu,P,AVS
Tanahu,P,BMN
Tanahu,P,DLT
Gulmi,P,MSLM
Chitwan,P,DLT
Rupandehi,P,JNJT
Dang,P,BMN
Nawalpur,P,AVS
Rupandehi,P,DLT
Khotang,P,DLT
Myagdi,P,JNJT
Arghakhanchi,P,CHT
Makwanpur,P,BMN
Rupandehi,P,CHT
Doti,P,AVS
Saptari,P,MDS
Jhapa,P,AVS
Rupandehi,P,CHT
Parasi,P,MDS
Dadeldhura,P,CHT
Dadeldhura,P,CHT
Udayapur,P,DLT
Siraha,P,MDS
Jhapa,P,DLT
Tanahu,P,BMN
Parasi,P,REG
Rautahat,P,BMN
Dang,P,BMN
Solukhumbu,P,AVS
Chitwan,P,BMN
Rupandehi,P,BMN
Terhathum,P,CHT
Arghakhanchi,P,JNJT
Dhading,P,BMN
Tanahu,P,JNJT
Sunsari,P,MSLM
Sunsari,P,MSLM
Kailali,P,JNJT
Bardiya,P,JNJT
Mustang,P,JNJT
Makwanpur,P,AVS
Lalitpur,P,BMN
Lalitpur,P,CHT
Lalitpur,P,AVS
Bara,P,AVS
Okhaldhunga,P,OTR
Makwanpur,P,BMN
Jhapa,P,BMN
Kanchanpur,P,AVS
Kaski,P,OTR
Sunsari,P,AVS
Chitwan,P,AVS
Morang,P,AVS
Parasi,P,AVS
Parasi,P,CHT
Siraha,P,BMN
Saptari,P,MDS
Saptari,P,MDS
Dhading,P,DLT
Sunsari,P,OTR
Rupandehi,P,JNJT
Palpa,P,OTR
Rupandehi,P,JNJT
Kathmandu,P,AVS
Jhapa,P,AVS
Morang,P,AVS
Rupandehi,P,BMN
Darchula,P,OTR
Okhaldhunga,P,AVS
Kailali,P,DLT
Rukum West,P,OTR
Dhanusa,P,MDS
Dhanusa,P,MDS
Dhanusa,V,OTR
Kapilvastu,P,CHT
Bhojpur,P,DLT
Bhojpur,P,DLT
Makwanpur,P,AVS
Chitwan,P,AVS
Siraha,P,AVS
Kathmandu,P,AVS
Dhading,P,JNJT
Bardiya,P,AVS
Kathmandu,P,AVS
Palpa,P,OTR
Pyuthan,P,DLT
Achham,P,DLT
Arghakhanchi,P,DLT
Udayapur,P,CHT
Saptari,P,DLT
Rasuwa,P,DLT
Baitadi,P,CHT
Kanchanpur,P,AVS
Saptari,P,DLT
Bardiya,P,DLT
Mugu,P,DLT
Bardiya,P,DLT
Jhapa,p,AVS
Banke,P,DLT
Gorkha,P,JNJT
Rasuwa,P,AVS
Morang,P,OTR
Morang,P,BMN
Morang,P,AVS
Morang,P,JNJT
Nawalpur,P,AVS
Morang,P,DLT
Dailekh,P,DLT
Kathmandu,P,MDS
Sunsari,P,AVS
Bardiya,P,JNJT
Ramechhap,P,AVS
Siraha,P,MDS
Mahottari,V,DLT
Lalitpur,P,OTR
Nawalpur,P,OTR
Kanchanpur,P,AVS
Parasi,P,DLT
Bajhang,P,DLT
Jhapa,P,CHT
Siraha,P,MSLM
Udayapur,P,DLT
Jajarkot,P,REG
Jajarkot,P,DLT
Kanchanpur,P,DLT
Sankhuwasabha,P,MSLM
Nawalpur,P,MDS
Nawalpur,P,AVS
Lalitpur,P,CHT
Parbat,P,DLT
Dolakha,P,AVS
Kailali,P,MDS
India,P,MSLM
Lalitpur,P,DLT
Lalitpur,P,BMN
Udayapur,P,AVS
Bardiya,P,JNJT
Tanahu,P,DLT
Sunsari,P,AVS
Kavrepalanchok,P,AVS
Sankhuwasabha,P,TBT
Kathmandu,P,AVS
Dang,P,BMN
Nuwakot,P,BMN
Dailekh,P,REG
Taplejung,P,AVS
Khotang,P,AVS
Bhojpur,P,BMN
Kavrepalanchok,P,AVS
Surkhet,P,BMN
Surkhet,P,DLT
Parasi,P,CHT
Pyuthan,P,MDS
Kanchanpur,P,CHT
Makwanpur,P,AVS
Chitwan,P,DLT
Kailali,P,MDS
Baitadi,P,CHT
Baitadi,P,CHT
Udayapur,P,DLT
Surkhet,P,CHT
Baglung,P,DLT
Kathmandu,P,BMN
Jhapa,P,OTR
Parasi,P,AVS
Lalitpur,P,AVS
Kanchanpur,P,AVS
Kathmandu,P,AVS
Sindhupalchok,P,CHT
Rupandehi,P,JNJT
Gulmi,P,DLT
Makwanpur,P,CHT
Kailali,P,DLT
Parasi,P,OTR
Parasi,P,OTR
Parasi,P,MDS
Dolpa,P,REG
