,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
1189,opportunist,assault,police,physical injury,9/9/2020,kaski,nepalpolice.gov.np
1190,minor,assault,police,physical injury,9/9/2020,saptari,nepalpolice.gov.np
1191,opportunist,assault,family,physical injury,9/9/2020,morang,inseconline.org
1192,minor,assault,police,physical injury,10/9/2020,panchthar,thehimalayantimes.com
1193,minor,assault,police,physical injury,10/9/2020,siraha,nepalpolice.gov.np
1194,minor,assault,police,physical injury,10/9/2020,dhanusa,setopati.com
1195,opportunist,assault,police,physical injury,10/9/2020,doti,setopati.com
1196,opportunist,assault,family,physical injury,11/9/2020,dolakha,inseconline.org
1197,gang,assault,police,physical injury,11/9/2020,saptari,inseconline.org
1198,minor,assault,police,physical injury,12/9/2020,kavre,nepalpolice.gov.np
1199,minor,assault,police,physical injury,12/9/2020,ramechhap,nepalpolice.gov.np
1200,minor,assault,parents,physical injury,12/9/2020,saptari,thepublictoday.com
1201,opportunist,assault,police,physical injury,13/09/2020,lalitpur,onlinekhabar.com
1202,minor,assault,police,physical injury,15/09/2020,rautahat,nepalpolice.gov.np
1203,minor,assault,police,physical injury,15/09/2020,sunsari,nepalpolice.gov.np
1204,minor,assault,relative,physical injury,15/09/2020,dang,ratopati.com
1205,opportunist,assault,police,physical injury,15/09/2020,okhaldhunga,nepalpolice.gov.np
1206,opportunist,assault,police,physical injury,16/09/2020,kanchanpur,ratopati.com
1207,opportunist,assault,police,physical injury,16/09/2020,jhapa,nepalpolice.gov.np
1208,opportunist,assault,police,physical injury,16/09/2020,udayapur,nepalpolice.gov.np
1209,opportunist,assault,police,physical injury,17/09/2020,kailali,nepalpolice.gov.np
1210,opportunist,assault,victim,physical injury,18/09/2020,dang,inseconline.org
1211,gang,assault,police,physical injury,18/09/2020,saptari,thehimalayantimes.com
1212,minor,assault,police,physical injury,19/09/2020,taplejung,nepalpolice.gov.np
1213,gang,assault,police,physical injury,19/09/2020,kavre,pahilopost.com
1214,opportunist,assault,police,physical injury,19/09/2020,kailali,koshionline.com
1215,minor,assault,victim,physical injury,19/09/2020,sunsari,blastkhabar.com
1216,opportunist,assault,police,physical injury,20/09/2020,bhojpur,nepalpolice.gov.np
1217,opportunist,assault,victim,physical injury,20/09/2020,salyan,inseconline.org
1218,minor,assault,family,physical injury,22/09/2020,kapilvastu,nagariknetwork.com
1219,minor,assault,police,physical injury,22/09/2020,okhaldhunga,nepalpolice.gov.np
1220,opportunist,assault,police,physical injury,22/09/2020,okhaldhunga,nepalpolice.gov.np
1221,opportunist,assault,police,physical injury,23/09/2020,bhojpur,ratopati.com
1222,minor,assault,police,physical injury,25/09/2020,udayapur,nepalpolice.gov.np
1223,minor,assault,police,physical injury,25/09/2020,udayapur,nagariknetwork.com
1224,opportunist,assault,victim,physical injury,25/09/2020,sunsari,imagekhabar.com
1225,minor,assault,victim,physical injury,25/09/2020,saptari,inseconline.org
1226,opportunist,assault,victim,physical injury,25/09/2020,baitadi,thahakhabar.com
1227,minor,assault,police,physical injury,26/09/2020,chitwan,nepalpolice.gov.np
1228,opportunist,assault,victim,physical injury,27/09/2020,udayapur,inseconline.org
1229,minor,assault,victim,physical injury,27/09/2020,parbat,inseconline.org
1230,minor,assault,parents,physical injury,28/09/2020,rautahat,inseconline.org
1231,minor,assault,police,physical injury,29/09/2020,tanahu,nepalpolice.gov.np
1232,minor,assault,police,physical injury,29/09/2020,makwanpur,nepalpolice.gov.np
1233,minor,assault,police,physical injury,29/09/2020,saptari,nepalpolice.gov.np
1234,minor,assault,victim,physical injury,30/09/2020,dhading,thehimalayantimes.com
1235,opportunist,assault,police,physical injury,30/09/2020,bardiya,ekantipur.com
1236,opportunist,assault,police,physical injury,10/1/2020,sunsari,ekantipur.com
1237,minor,assault,parents,physical injury,10/1/2020,doti,kharibot.com
1238,opportunist,assault,police,physical injury,10/1/2020,bhaktapur,baahrakhari.com
1239,opportunist,assault,victim,physical injury,10/1/2020,siraha,inseconline.org
1240,gang,assault,police,physical injury,10/1/2020,sindhupalchowk,imagekhabar.com
1241,minor,assault,police,physical injury,10/2/2020,rautahat,ekantipur.com
1242,opportunist,assault,victim,physical injury,10/2/2020,siraha,inseconline.org
1243,opportunist,assault,police,physical injury,10/3/2020,siraha,enewsbureau.com
1244,minor,assault,police,physical injury,10/3/2020,kanchanpur,nepalpolice.gov.np
1245,minor,assault,police,physical injury,10/3/2020,saptari,inseconline.org
1246,gang,assault,police,physical injury,10/4/2020,kathmandu,thehimalayantimes.com
1247,opportunist,assault,police,physical injury,10/4/2020,siraha,thehimalayantimes.com
1248,minor,assault,police,physical injury,10/4/2020,siraha,nepalpolice.gov.np
1249,minor,assault,parents,physical injury,10/4/2020,morang,inseconline.org
1250,opportunist,assault,police,physical injury,10/5/2020,sunsari,nepalpolice.gov.np
1251,opportunist,assault,police,physical injury,10/5/2020,jhapa,nepalpolice.gov.np
1252,opportunist,assault,family,physical injury,10/5/2020,kapilvastu,inseconline.org
1253,opportunist,assault,police,physical injury,10/6/2020,bardiya,nepalpolice.gov.np
1254,opportunist,assault,relative,physical injury,10/6/2020,taplejung,inseconline.org
1255,opportunist,assault,victim,physical injury,10/6/2020,siraha,inseconline.org
1256,minor,assault,police,physical injury,10/6/2020,dhanusa,nepalpolice.gov.np
1257,minor,assault,police,physical injury,10/7/2020,lalitpur,thehimalayantimes.com
1258,opportunist,assault,police,physical injury,10/7/2020,dhanusa,nepalpolice.gov.np
1259,opportunist,assault,police,physical injury,10/7/2020,kanchanpur,nepalpolice.gov.np
1260,minor,assault,police,physical injury,10/7/2020,sunsari,nepalpolice.gov.np
1261,minor,assault,police,physical injury,10/7/2020,kailali,imagekhabar.com
1262,minor,assault,police,physical injury,10/8/2020,kathmandu,nagariknetwork.com
1263,minor,assault,police,physical injury,10/8/2020,nawalparasi,inseconline.org
1264,opportunist,assault,police,physical injury,10/8/2020,bardiya,nepalpolice.gov.np
1265,minor,assault,police,physical injury,10/8/2020,sunsari,nepalpolice.gov.np
1266,opportunist,assault,police,physical injury,10/8/2020,parsa,nepalpolice.gov.np
1267,minor,assault,police,physical injury,10/9/2020,palpa,nepalpolice.gov.np
1268,minor,assault,police,physical injury,10/9/2020,dhanusa,nepalpolice.gov.np
1269,minor,assault,police,physical injury,10/9/2020,dhanusa,nepalpolice.gov.np
1270,minor,assault,police,physical injury,10/10/2020,nawalparasi,thehimalayantimes.com
1271,minor,assault,police,physical injury,10/10/2020,kathmandu,thehimalayantimes.com
1272,opportunist,assault,police,physical injury,10/10/2020,kapilvastu,nepalmonitor.org
1273,minor,assault,police,physical injury,10/10/2020,siraha,nepalmonitor.org
1274,minor,assault,police,physical injury,10/11/2020,kathmandu,ratopati.com
1275,opportunist,assault,police,physical injury,10/11/2020,bhojpur,nepalpolice.gov.np
1276,opportunist,assault,police,physical injury,10/11/2020,kapilvastu,nepalpolice.gov.np
1277,opportunist,assault,police,physical injury,10/12/2020,udayapur,nepalpolice.gov.np
1278,opportunist,assault,police,physical injury,10/12/2020,okhaldhunga,nepalmonitor.org
1279,gang,assault,police,physical injury,13/10/2020,dang,setopati.com
1280,minor,assault,police,physical injury,13/10/2020,sunsari,nepalpolice.gov.np
1281,minor,assault,police,physical injury,15/10/2020,siraha,nepalpolice.gov.np
1282,minor,assault,police,physical injury,16/10/2020,kathmandu,thehimalayantimes.com
1283,opportunist,assault,victim,physical injury,16/10/2020,dang,inseconline.org
1284,minor,assault,police,physical injury,16/10/2020,rautahat,thehimalayantimes.com
1285,opportunist,assault,victim,physical injury,17/10/2020,salyan,nepalmonitor.org
1286,minor,assault,parents,physical injury,17/10/2020,nawalparasi,nepalmonitor.org
1287,minor,assault,police,physical injury,18/10/2020,dhanusa,ratopati.com
1288,gang,assault,police,physical injury,18/10/2020,tanahu,nepalpolice.gov.np
1289,minor,assault,police,physical injury,18/10/2020,salyan,inseconline.org
1290,minor,assault,victim,physical injury,18/10/2020,arghakhanchi,nepalmonitor.org
1291,minor,assault,victim,physical injury,19/10/2020,nawalparasi,inseconline.org
1292,minor,assault,police,physical injury,19/10/2020,kathmandu,nepalpolice.gov.np
1293,minor,assault,police,physical injury,19/10/2020,sindhupalchowk,nepalpolice.gov.np
1294,minor,assault,police,physical injury,19/10/2020,sunsari,nepalpolice.gov.np
1295,minor,assault,victim,physical injury,21/10/2020,siraha,inseconline.org
1296,minor,assault,police,physical injury,21/10/2020,dhanusa,nepalpolice.gov.np
1297,opportunist,assault,victim,physical injury,25/10/2020,terhathum,inseconline.org
1298,gang,assault,police,physical injury,25/10/2020,kailali,dineshkhabar.com
1299,opportunist,assault,victim,physical injury,26/10/2020,kailali,inseconline.org
1300,opportunist,assault,victim,physical injury,27/10/2020,udayapur,khabarhub.com
1301,opportunist,assault,victim,physical injury,27/10/2020,bardiya,khabarhub.com
1302,opportunist,assault,victim,physical injury,28/10/2020,dhading,inseconline.org
1303,opportunist,assault,police,physical injury,28/10/2020,sunsari,nepalpolice.gov.np
1304,minor,assault,parents,physical injury,29/10/2020,bara,thehimalayantimes.com
1305,minor,assault,police,physical injury,29/10/2020,saptari,ratopati.com
1306,gang,assault,police,physical injury,29/10/2020,udayapur,ekantipur.com
1307,opportunist,assault,police,physical injury,30/10/2020,sunsari,nepalpolice.gov.np
1308,minor,assault,police,physical injury,30/10/2020,dhading,inseconline.org
1309,minor,assault,police,physical injury,31/10/2020,illam,nepalpolice.gov.np
1310,minor,assault,police,physical injury,31/10/2020,dhanusa,nepalpolice.gov.np
1311,opportunist,assault,police,physical injury,2/11/2020,sunsari,nepalpolice.gov.np
1312,gang,assault,family,physical injury,2/11/2020,sunsari,ekantipur.com
1313,minor,assault,police,physical injury,2/11/2020,makwanpur,nepalpolice.gov.np
1314,opportunist,assault,police,physical injury,2/11/2020,udayapur,nepalpolice.gov.np
1315,gang,attempt,police,physical injury,2/11/2020,taplejung,ratopati.com
1316,gang,attempt,police,physical injury,2/11/2020,saptari,ratopati.com
1317,minor,assault,police,physical injury,3/11/2020,doti,onlinekhabar.com
1318,minor,assault,police,physical injury,3/11/2020,kathmandu,setopati.com
1319,gang,assault,police,physical injury,3/11/2020,morang,nepalpolice.gov.np
1320,opportunist,assault,police,physical injury,3/11/2020,morang,nepalpolice.gov.np
1321,minor,assault,police,physical injury,3/11/2020,dang,nepalmonitor.org
1322,opportunist,assault,victim,physical injury,3/11/2020,sindhupalchowk,inseconline.org
1323,opportunist,assault,police,physical injury,4/11/2020,okhaldhunga,nepalpolice.gov.np
1324,minor,assault,police,physical injury,4/11/2020,sunsari,nepalpolice.gov.np
1325,opportunist,assault,police,physical injury,5/11/2020,sunsari,koshionline.com
1326,opportunist,assault,police,physical injury,6/11/2020,saptari,nepalpolice.gov.np
1327,minor,assault,police,physical injury,6/11/2020,lalitpur,nepalpolice.gov.np
1328,opportunist,assault,police,physical injury,7/11/2020,makwanpur,nepalpolice.gov.np
1329,opportunist,attempt,police,physical injury,7/11/2020,jhapa,nepalpolice.gov.np
1330,opportunist,attempt,victim,physical injury,7/11/2020,rautahat,news24nepal.tv
1331,opportunist,assault,police,physical injury,8/11/2020,kathmandu,ratopati.com
1332,opportunist,assault,victim,physical injury,9/11/2020,gorkha,nepalmonitor.org
1333,opportunist,assault,police,physical injury,10/11/2020,makwanpur,nepalpolice.gov.np
1334,minor,assault,police,physical injury,12/11/2020,kathmandu,thehimalayantimes.com
1335,opportunist,assault,police,physical injury,12/11/2020,udayapur,setopati.com
1336,opportunist,attempt,police,physical injury,12/11/2020,syangja,nepalpolice.gov.np
1337,minor,assault,police,physical injury,12/11/2020,dang,nepalmonitor.org
1338,opportunist,assault,police,physical injury,13/11/2020,saptari,setopati.com
1339,minor,assault,police,physical injury,13/11/2020,syangja,nepalmonitor.org
1340,opportunist,assault,police,physical injury,13/11/2020,saptari,setopati.com
1341,opportunist,assault,police,physical injury,15/11/2020,kailali,nepalpolice.gov.np
1342,opportunist,attempt,police,physical injury,16/11/2020,kathmandu,ratopati.com
1343,minor,assault,police,physical injury,16/11/2020,kathmandu,news24nepal.tv
1344,opportunist,assault,police,physical injury,18/11/2020,morang,nepalpolice.gov.np
1345,gang,assault,police,murder,18/11/2020,makwanpur,khabarbreak.com
1346,gang,assault,police,physical injury,19/11/2020,dhanusa,nepalpolice.gov.np
1347,opportunist,assault,police,physical injury,20/11/2020,kathmandu,thehimalayantimes.com
1348,opportunist,assault,police,physical injury,20/11/2020,sunsari,nepalpolice.gov.np
1349,minor,assault,police,physical injury,21/11/2020,parsa,nepalpolice.gov.np
1350,gang,assault,victim,physical injury,21/11/2020,banke,inseconline.org
1351,minor,assault,police,physical injury,22/11/2020,kailali,nepalpolice.gov.np
1352,minor,assault,police,physical injury,23/11/2020,rautahat,ratopati.com
1353,gang,assault,police,physical injury,24/11/2020,dhanusa,onlinekhabar.com
1354,opportunist,assault,relative,physical injury,24/11/2020,siraha,inseconline.org
1355,minor,assault,police,physical injury,25/11/2020,dolakha,nepalpolice.gov.np
1356,opportunist,assault,police,physical injury,25/11/2020,bardiya,nepalpolice.gov.np
1357,minor,assault,police,physical injury,26/11/2020,kaski,ekantipur.com
1358,minor,assault,police,physical injury,29/11/2020,bhaktapur,nepalpolice.gov.np
1359,opportunist,assault,police,physical injury,29/11/2020,morang,nepalpolice.gov.np
1360,gang,assault,victim,physical injury,29/11/2020,nawalparasi,inseconline.org
1361,minor,assault,relative,physical injury,2/12/2020,ramechhap,inseconline.org
1362,opportunist,assault,police,physical injury,4/12/2020,terhathum,nepalpolice.gov.np
1363,minor,assault,police,physical injury,5/12/2020,okhaldhunga,nepalpolice.gov.np
1364,minor,assault,police,physical injury,5/12/2020,kathmandu,nepalpolice.gov.np
1365,opportunist,assault,police,physical injury,6/12/2020,nuwakot,nepalpolice.gov.np
1366,minor,assault,police,physical injury,8/12/2020,udayapur,nepalpolice.gov.np
1367,gang,assault,police,physical injury,8/12/2020,gulmi,nepalpolice.gov.np
1368,opportunist,attempt,police,physical injury,8/12/2020,sindhuli,saurahaonline.com
1369,minor,attempt,police,physical injury,8/12/2020,jhapa,ekantipur.com
1370,minor,assault,police,physical injury,9/12/2020,tanahu,thehimalayantimes.com
1371,opportunist,assault,police,physical injury,9/12/2020,palpa,onlinekhabar.com
1372,opportunist,assault,police,physical injury,9/12/2020,lalitpur,nepallive.com
1373,opportunist,assault,police,murder,9/12/2020,jhapa,ekantipur.com
1374,minor,assault,police,physical injury,13/12/2020,kanchanpur,nepalpolice.gov.np
1375,minor,assault,police,physical injury,14/12/2020,nuwakot,nepalpolice.gov.np
1376,opportunist,assault,police,physical injury,17/12/2020,siraha,inseconline.org
1377,minor,assault,police,physical injury,18/12/2020,myagdi,nepalpolice.gov.np
1378,gang,assault,police,physical injury,19/12/2020,banke,nepalpolice.gov.np
1379,opportunist,assault,police,physical injury,22/12/2020,lalitpur,accounts.google.com
1380,opportunist,assault,police,physical injury,22/12/2020,udayapur,nepalpolice.gov.np
1381,opportunist,assault,police,physical injury,22/12/2020,illam,nepalpolice.gov.np
1382,opportunist,assault,police,physical injury,24/12/2020,kathmandu,thehimalayantimes.com
1383,gang,assault,police,physical injury,25/12/2020,bardiya,nepalpolice.gov.np
1384,opportunist,assault,police,physical injury,26/12/2020,lalitpur,nepalpolice.gov.np
1385,opportunist,assault,police,physical injury,26/12/2020,makwanpur,nepalpolice.gov.np
1386,minor,assault,police,physical injury,27/12/2020,bhojpur,nepalpolice.gov.np
1387,opportunist,assault,police,physical injury,6/1/2021,syangja,nepalmonitor.org
1388,opportunist,assault,police,physical injury,6/1/2021,bardiya,nepalpolice.gov.np
1389,opportunist,assault,police,physical injury,6/1/2021,sunsari,nepalpolice.gov.np
1390,minor,assault,police,physical injury,9/1/2021,kaski,nepalpolice.gov.np
1391,minor,assault,police,physical injury,9/1/2021,sunsari,nepalpolice.gov.np
1392,opportunist,assault,police,physical injury,12/1/2021,rupandehi,inseconline.org
1393,opportunist,assault,police,physical injury,13/01/2021,baitadi,inseconline.org
1394,opportunist,assault,police,physical injury,14/01/2021,lalitpur,nepalpolice.gov.np
1395,minor,assault,police,physical injury,15/01/2021,rupandehi,nepalpolice.gov.np
1396,opportunist,assault,police,physical injury,16/01/2021,kailali,nepalpolice.gov.np
1397,minor,assault,police,physical injury,16/01/2021,kathmandu,nepalpolice.gov.np
1398,opportunist,assault,police,physical injury,20/01/2021,kanchanpur,nepalpolice.gov.np
1399,minor,assault,police,physical injury,21/01/2021,rupandehi,nepalpolice.gov.np
1400,minor,assault,police,physical injury,22/01/2021,bardiya,nepalpolice.gov.np
1401,minor,assault,police,physical injury,22/01/2021,illam,nepalpolice.gov.np
1402,opportunist,assault,police,physical injury,23/01/0221,saptari,inseconline.org
1403,minor,assault,police,physical injury,24/01/2021,parsa,nepalpolice.gov.np
1404,opportunist,assault,police,physical injury,26/01/0221,dang,inseconline.org
1405,opportunist,assault,police,physical injury,28/01/2021,jhapa,nepalpolice.gov.np
1406,opportunist,assault,police,physical injury,29/01/2021,rupandehi,inseconline.org
1407,opportunist,attempt,police,physical injury,30/01/2021,siraha,inseconline.org
1408,opportunist,attempt,police,physical injury,30/01/2021,saptari,inseconline.org
1409,opportunist,assault,police,physical injury,31/01/2021,bhaktapur,nepalpolice.gov.np
1410,gang,assault,police,physical injury,31/01/2021,kailali,nepalpolice.gov.np
1411,minor,assault,parents,physical injury,1/2/2021,saptari,inseconline.org
1412,opportunist,assault,police,physical injury,2/2/2021,dolpa,nepalpolice.gov.np
1413,opportunist,assault,parents,physical injury,3/2/2021,saptari,inseconline.org
1414,opportunist,assault,police,murder,4/2/2021,baitadi,nepalmonitor.org
1415,minor,assault,parents,physical injury,4/2/2021,salyan,inseconline.org
1416,opportunist,assault,police,physical injury,6/2/2021,sunsari,nepalpolice.gov.np
1417,opportunist,assault,police,physical injury,6/2/2021,makwanpur,nepalpolice.gov.np
1418,minor,abuse,victim,physical injury,7/2/2021,banke,inseconline.org
1419,opportunist,assault,victim,physical injury,8/2/2021,morang,inseconline.org
1420,minor,abuse,victim,physical injury,8/2/2021,gorkha,inseconline.org
1421,minor,assault,police,physical injury,9/2/2021,myagdi,nepalpolice.gov.np
1422,opportunist,assault,police,physical injury,9/2/2021,tanahu,nepalpolice.gov.np
1423,minor,assault,police,physical injury,9/2/2021,siraha,nepalpolice.gov.np
1424,opportunist,assault,police,physical injury,10/02/0221,udayapur,nepalpolice.gov.np
1425,minor,assault,police,physical injury,11/2/2021,gulmi,nepalpolice.gov.np
1426,opportunist,assault,victim,physical injury,11/2/2021,nawalparasi,inseconline.org
1427,opportunist,assault,police,physical injury,14l2l2021,kapilvastu,nepalpolice.gov.np
1428,minor,assault,police,physical injury,14/02/2021,kathmandu,nepalpolice.gov.np
1429,opportunist,assault,police,physical injury,15/02/2021,bara,nepalpolice.gov.np
1430,minor,assault,victim,physical injury,15/02/2021,syangja,inseconline.org
1431,opportunist,assault,police,murder,16/02/2021,baitadi,nepalpolice.gov.np
1432,opportunist,assault,police,physical injury,17/02/2021,kathmandu,nepalpolice.gov.np
1433,opportunist,assault,police,physical injury,17/02/2021,darchula,nepalpolice.gov.np
1434,opportunist,assault,police,physical injury,17/02/2021,rupandehi,inseconline.org
1435,minor,assault,police,physical injury,19/02/2021,makwanpur,nepalpolice.gov.np
1436,minor,assault,police,physical injury,19/02/2021,kailali,nepalpolice.gov.np
1437,minor,assault,parents,physical injury,20/02/2021,rupandehi,inseconline.org
1438,opportunist,assault,victim,physical injury,20/02/2021,palpa,inseconline.org
1439,minor,abuse,victim,physical injury,20/02/2021,bara,inseconline.org
1440,opportunist,assault,police,physical injury,21/02/2021,makwanpur,nepalpolice.gov.np
1441,minor,abuse,victim,physical injury,25/02/2021,morang,inseconline.org
1442,minor,abuse,parents,physical injury,25/02/2021,saptari,inseconline.org
1443,opportunist,attempt,victim,physical injury,25/02/2021,saptari,inseconline.org
1444,minor,assault,police,physical injury,26/02/2021,saptari,inseconline.org
1445,minor,assault,police,physical injury,28/02/2021,morang,nepalpolice.gov.np
1446,minor,assault,police,physical injury,1/3/2021,dailekh,inseconline.org
1447,minor,assault,police,physical injury,1/3/2021,gorkha,nagariknetwork.com
1448,opportunist,assault,police,physical injury,1/3/2021,siraha,inseconline.org
1449,minor,assault,police,physical injury,2/3/2021,lamjung,nepalmonitor.org
1450,gang,assault,police,physical injury,2/3/2021,dang,inseconline.org
1451,minor,assault,police,physical injury,3/3/2021,saptari,imagekhabar.com
1452,minor,assault,police,physical injury,3/3/2021,nawalparasi,inseconline.org
1453,opportunist,assault,police,physical injury,3/3/2021,kailali,nepalpolice.gov.np
1454,opportunist,assault,victim,physical injury,3/3/2021,saptari,inseconline.org
1455,opportunist,assault,police,physical injury,4/3/2021,udayapur,nepalpolice.gov.np
1456,minor,assault,victim,physical injury,4/3/2021,salyan,inseconline.org
1457,opportunist,assault,police,physical injury,4/3/2021,bhaktapur,nepalnews.com
1458,opportunist,assault,police,physical injury,4/3/2021,saptari,inseconline.org
1459,opportunist,assault,police,physical injury,5/4/2021,bhojpur,inseconline.org
1460,opportunist,assault,police,physical injury,5/4/2021,syangja,imagekhabar.com
1461,minor,assault,police,physical injury,6/4/2021,rupandehi,inseconline.org
1462,minor,attempt,police,physical injury,6/3/2021,mahottari,nepalmonitor.org
1463,opportunist,assault,victim,physical injury,6/3/2021,kailali,inseconline.org
1464,opportunist,attempt,police,physical injury,6/3/2021,ramechhap,inseconline.org
1465,opportunist,assault,police,physical injury,7/4/2021,kapilvastu,nepalpolice.gov.np
1466,minor,assault,police,physical injury,7/4/2021,dhanusa,nepalpolice.gov.np
1467,minor,abuse,police,physical injury,8/4/2021,siraha,nepalpolice.gov.np
1468,gang,abuse,police,physical injury,8/4/2021,dang,inseconline.org
1469,opportunist,attempt,police,physical injury,9/4/2021,parsa,inseconline.org
1470,minor,assault,police,physical injury,9/4/2021,bhaktapur,inseconline.org
1471,opportunist,attempt,police,physical injury,9/4/2021,kapilvastu,inseconline.org
1472,opportunist,attempt,police,physical injury,9/4/2021,kathmandu,nepallive.com
1473,opportunist,assault,police,physical injury,9/4/2021,kanchanpur,dineshkhabar.com
1474,opportunist,assault,police,physical injury,10/3/2021,sindhupalchowk,inseconline.org
1475,opportunist,assault,police,physical injury,10/3/2021,solukhumbu,inseconline.org
1476,opportunist,assault,police,physical injury,10/3/2021,lalitpur,inseconline.org
1477,gang,assault,police,physical injury,11/3/2021,dadeldhura,nepalpolice.gov.np
1478,opportunist,assault,police,physical injury,11/3/2021,bajhang,imagekhabar.com
1479,opportunist,assault,police,physical injury,11/3/2021,salyan,inseconline.org
1480,opportunist,assault,police,pregnant,12/3/2021,bara,drive.google.com
1481,minor,assault,police,physical injury,12/3/2021,morang,nepalpolice.gov.np
1482,minor,abuse,police,physical injury,14/03/2021,sunsari,inseconline.org
1483,minor,assault,police,physical injury,14/03/2021,tanahu,inseconline.org
1484,gang,assault,police,physical injury,14/03/2021,rukum,thahakhabar.com
1485,opportunist,assault,police,physical injury,14/03/2021,parsa,newsofnepal.com
1486,gang,assault,police,physical injury,14/03/2020,nuwakot,inseconline.org
1487,gang,assault,victim,pregnant,15/03/2021,achham,setopati.com
1488,opportunist,assault,victim,physical injury,16/03/2021,banke,inseconline.org
1489,minor,abuse,police,physical injury,16/03/2021,dang,inseconline.org
1490,opportunist,abuse,police,physical injury,18/03/2021,dailekh,inseconline.org
1491,minor,attempt,police,physical injury,18/03/2021,kailali,inseconline.org
1492,opportunist,assault,police,physical injury,19/03/2021,sunsari,nepalpolice.gov.np
1493,opportunist,assault,police,pregnant,19/03/2021,kailali,dineshkhabar.com
1494,minor,assault,victim,physical injury,20/03/2021,rupandehi,inseconline.org
1495,opportunist,assault,family,physical injury,20/03/2021,rupandehi,setopati.com
1496,opportunist,assault,police,physical injury,20/03/2021,udayapur,nepalpolice.gov.np
1497,opportunist,assault,police,physical injury,21/03/2021,saptari,nepalpolice.gov.np
1498,minor,assault,organizations,physical injury,21/03/2021,dang,inseconline.org
1499,gang,assault,police,physical injury,21/03/2021,jhapa,nepalpolice.gov.np
1500,opportunist,attempt,police,physical injury,21/03/2021,morang,nepalpolice.gov.np
1501,minor,abuse,police,physical injury,21/03/2021,terhathum,imagekhabar.com
1502,minor,assault,family,physical injury,21/03/2021,rupandehi,inseconline.org
1503,opportunist,assault,victim,physical injury,22/03/2021,sunsari,inseconline.org
1504,opportunist,abuse,police,physical injury,24/03/2021,morang,koshionline.com
1505,gang,assault,police,physical injury,24/03/2021,nawalparasi,inseconline.org
1506,minor,assault,police,physical injury,25/03/2021,baglung,imagekhabar.com
1507,opportunist,assault,police,physical injury,25/03/2021,bhaktapur,nepalpolice.gov.np
1508,opportunist,assault,police,physical injury,25/03/2021,okhaldhunga,koshionline.com
1509,opportunist,assault,police,physical injury,26/03/2021,humla,koshionline.com
1510,opportunist,harassment,police,physical injury,26/03/2021,saptari,nagariknetwork.com
1511,opportunist,assault,police,physical injury,27/03/2021,nawalparasi,inseconline.org
1512,gang,abuse,police,physical injury,27/03/2021,syangja,inseconline.org
1513,opportunist,assault,police,physical injury,27/03/2021,gulmi,news24nepal.tv
1514,minor,abuse,police,physical injury,27/03/2021,baglung,inseconline.org
1515,minor,attempt,police,physical injury,27/03/2021,bajhang,newsofnepal.com
1516,opportunist,assault,police,physical injury,27/03/2021,kathmandu,news24nepal.tv
1517,opportunist,assault,police,physical injury,28/03/2021,nawalparasi,inseconline.org
1518,minor,assault,police,physical injury,29/03/2021,jhapa,blastkhabar.com
1519,opportunist,abuse,police,physical injury,29/03/2021,chitwan,drive.google.com
1520,opportunist,assault,police,physical injury,29/03/2021,kapilvastu,ratopati.com
1521,minor,assault,police,physical injury,29/03/2021,morang,onlinekhabar.com
1522,opportunist,abuse,police,physical injury,30/03/2021,kaski,onlinekhabar.com
1523,minor,assault,victim,physical injury,30/03/2021,dang,onlinekhabar.com
1524,opportunist,assault,police,physical injury,30/03/2021,kanchanpur,dineshkhabar.com
1525,opportunist,assault,family,physical injury,30/03/2021,salyan,dineshkhabar.com
1526,minor,abuse,police,physical injury,30/03/2021,kailali,inseconline.org
1527,minor,assault,police,physical injury,1/4/2021,makwanpur,inseconline.org
1528,gang,assault,police,physical injury,1/4/2021,lalitpur,ratopati.com
1529,opportunist,assault,police,physical injury,2/4/2021,bara,inseconline.org
1530,opportunist,abuse,police,physical injury,2/4/2021,dolakha,inseconline.org
1531,opportunist,assault,police,physical injury,4/4/2021,saptari,inseconline.org
1532,opportunist,attempt,police,physical injury,4/4/2021,kavre,inseconline.org
1533,opportunist,assault,police,physical injury,4/4/2021,syangja,inseconline.org
1534,minor,assault,police,physical injury,5/4/2021,parsa,drive.google.com
1535,minor,abuse,police,physical injury,5/4/2021,morang,nepalpolice.gov.np
1536,opportunist,assault,police,physical injury,6/4/2021,kapilvastu,nepalpolice.gov.np
1537,minor,assault,police,physical injury,6/4/2021,jhapa,khabarcenter.com
1538,minor,assault,police,physical injury,6/4/2021,nuwakot,nepalpolice.gov.np
1539,opportunist,abuse,police,physical injury,7/4/2021,sindhupalchowk,inseconline.org
1540,minor,assault,police,physical injury,7/4/2021,dhading,inseconline.org
1541,minor,assault,police,physical injury,7/4/2021,bhaktapur,nepalpolice.gov.np
1542,opportunist,assault,police,physical injury,8/4/2021,kavre,inseconline.org
1543,minor,abuse,police,physical injury,8/4/2021,sindhupalchowk,inseconline.org
1544,minor,assault,police,physical injury,8/4/2021,nawalparasi,inseconline.org
1545,opportunist,attempt,police,physical injury,9/4/2021,gorkha,inseconline.org
1546,minor,assault,police,physical injury,9/4/2021,dang,inseconline.org
1547,minor,assault,police,physical injury,10/4/2021,ramechhap,inseconline.org
