,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
1838,opportunist,assault,victim,physical injury,27/10/2021,dang,nepalmonitor.org
1839,opportunist,assault,victim,physical injury,28/10/2021,udayapur,nepalmonitor.org
1840,minor,abuse,family,physical injury,28/10/2021,dolakha,nepalmonitor.org
1841,minor,assault,parents,physical injury,28/10/2021,rukum,nepalmonitor.org
1842,gang,assault,victim,physical injury,29/10/2021,nawalparasi,nepalmonitor.org
1843,opportunist,assault,police,physical injury,30/10/2021,kathmandu,nepalmonitor.org
1844,minor,assault,police,physical injury,30/10/2021,kanchanpur,nepalmonitor.org
1845,opportunist,assault,police,physical injury,30/10/2021,sunsari,nepalmonitor.org
1846,opportunist,attempt,victim,physical injury,31/10/2021,rukum,nepalmonitor.org
1847,opportunist,assault,police,physical injury,31/10/2021,nuwakot,nepalmonitor.org
1848,minor,assault,police,physical injury,31/10/2021,jhapa,nepalmonitor.org
1849,opportunist,assault,police,physical injury,1/11/2021,udayapur,nepalmonitor.org
1850,opportunist,assault,police,physical injury,3/11/2021,ramechhap,nepalmonitor.org
1851,opportunist,assault,police,physical injury,4/11/2021,siraha,nepalmonitor.org
1852,minor,assault,police,physical injury,5/11/2021,palpa,nepalmonitor.org
1853,opportunist,assault,police,physical injury,6/11/2021,terhathum,nepalmonitor.org
1854,opportunist,assault,police,physical injury,7/11/2021,kathmandu,nepalmonitor.org
1855,opportunist,attempt,family,physical injury,8/11/2021,dhankuta,nepalmonitor.org
1856,minor,assault,police,physical injury,8/11/2021,siraha,nepalmonitor.org
1857,minor,assault,police,physical injury,9/11/2021,dhanusa,nepalmonitor.org
1858,minor,assault,police,physical injury,9/11/2021,terhathum,nepalmonitor.org
1859,opportunist,assault,victim,physical injury,9/11/2021,kathmandu,nepalmonitor.org
1860,gang,assault,police,physical injury,9/11/2021,myagdi,ratopati.com
1861,opportunist,assault,victim,physical injury,9/11/2021,dailekh,nepalmonitor.org
1862,minor,assault,police,physical injury,9/11/2021,dhanusa,onlinekhabar.com
1863,opportunist,assault,police,physical injury,10/11/2021,rukum,onlinekhabar.com
1864,opportunist,assault,police,physical injury,11/11/2021,gulmi,nepalmonitor.org
1865,opportunist,assault,victim,physical injury,11/11/2021,siraha,nepalmonitor.org
1866,gang,attempt,police,physical injury,11/11/2021,parsa,nepalmonitor.org
1867,opportunist,assault,police,physical injury,12/11/2021,udayapur,nepalmonitor.org
1868,minor,assault,victim,physical injury,12/11/2021,rupandehi,nepalmonitor.org
1869,minor,assault,police,physical injury,13/11/2021,chitwan,nepalmonitor.org
1870,minor,assault,police,physical injury,15/11/2021,siraha,nepalmonitor.org
1871,minor,assault,police,physical injury,15/11/2021,myagdi,nepalmonitor.org
1872,gang,assault,victim,physical injury,15/11/2021,nawalparasi,nepalmonitor.org
1873,gang,assault,police,physical injury,16/11/2021,gulmi,ratopati.com
1874,minor,assault,police,physical injury,17/11/2021,gulmi,nepalmonitor.org
1875,opportunist,assault,police,physical injury,18/11/2021,dailekh,nepalmonitor.org
1876,gang,assault,police,murder,19/11/2021,mahottari,ratopati.com
1877,opportunist,assault,police,physical injury,19/11/2021,terhathum,kathmandupress.com
1878,minor,assault,police,physical injury,19/11/2021,dhanusa,ratopati.com
1879,opportunist,assault,police,physical injury,20/11/2021,bhaktapur,ratopati.com
1880,opportunist,assault,police,physical injury,20/11/2021,terhathum,nepalmonitor.org
1881,opportunist,attempt,police,physical injury,21/11/2021,rupandehi,nepalmonitor.org
1882,opportunist,attempt,police,physical injury,21/11/2021,nawalparasi,nepalmonitor.org
1883,minor,abuse,parents,physical injury,22/11/2021,parbat,nepalmonitor.org
1884,opportunist,assault,police,physical injury,22/11/2021,terhathum,nepalmonitor.org
1885,opportunist,assault,victim,physical injury,22/11/2021,myagdi,nepalmonitor.org
1886,minor,assault,police,physical injury,23/11/2021,morang,setopati.com
1887,minor,assault,victim,physical injury,23/11/2021,bhojpur,nepalmonitor.org
1888,minor,assault,police,physical injury,23/11/2021,ramechhap,nepalmonitor.org
1889,minor,attempt,police,physical injury,23/11/2021,ramechhap,nepalmonitor.org
1890,opportunist,attempt,victim,physical injury,25/11/2021,bara,nepalmonitor.org
1891,opportunist,abuse,victim,physical injury,25/11/2021,ramechhap,nepalmonitor.org
1892,opportunist,assault,victim,physical injury,25/11/2021,dailekh,nepalmonitor.org
1893,minor,assault,police,pregnant,25/11/2021,parsa,nepalmonitor.org
1894,opportunist,assault,victim,physical injury,27/11/2021,dang,nepalmonitor.org
1895,opportunist,assault,police,physical injury,29/11/2021,parsa,nepalmonitor.org
1896,minor,assault,police,physical injury,29/11/2021,parsa,nepalmonitor.org
1897,opportunist,assault,police,physical injury,2/1/2022,humla,nepalmonitor.org
1898,gang,assault,victim,physical injury,2/1/2022,terhathum,nepalmonitor.org
1899,opportunist,assault,police,physical injury,4/1/2022,palpa,nepalmonitor.org
1900,opportunist,attempt,police,physical injury,7/1/2022,jhapa,nepalmonitor.org
1901,minor,assault,police,physical injury,8/1/2022,bhojpur,nepalmonitor.org
1902,opportunist,attempt,police,physical injury,8/1/2022,ramechhap,nepalmonitor.org
1903,opportunist,abuse,police,physical injury,10/1/2022,ramechhap,ratopati.com
1904,opportunist,assault,police,physical injury,10/1/2022,kathmandu,ratopati.com
1905,opportunist,attempt,victim,physical injury,12/1/2022,dhanusa,nepalmonitor.org
1906,opportunist,abuse,police,physical injury,13/01/2022,jhapa,nepalmonitor.org
1907,opportunist,assault,police,physical injury,14/01/2022,kathmandu,nepalmonitor.org
1908,opportunist,assault,police,physical injury,15/01/2022,bardiya,nepalmonitor.org
1909,minor,assault,police,physical injury,17/01/2022,bara,ratopati.com
1910,opportunist,assault,victim,physical injury,18/01/2022,sindhupalchowk,nepalmonitor.org
1911,opportunist,assault,parents,physical injury,18/01/2022,khotang,nepalmonitor.org
1912,opportunist,assault,police,physical injury,19/01/2022,morang,nepalmonitor.org
1913,opportunist,abuse,parents,physical injury,20/01/2022,saptari,nepalmonitor.org
1914,gang,assault,police,physical injury,23/01/2022,rupandehi,nepalmonitor.org
1915,opportunist,assault,police,physical injury,24/01/2022,palpa,nepalmonitor.org
1916,opportunist,assault,parents,physical injury,25/01/2022,parsa,nepalmonitor.org
1917,opportunist,assault,police,physical injury,25/01/2022,dailekh,nepalmonitor.org
1918,opportunist,assault,police,physical injury,26/01/2022,rautahat,nepalmonitor.org
1919,minor,assault,family,physical injury,26/01/2022,nuwakot,nepalmonitor.org
1920,minor,assault,police,physical injury,27/01/2022,jhapa,nepalmonitor.org
1921,minor,assault,relative,physical injury,28/01/2022,kailali,nepalmonitor.org
1922,opportunist,abuse,police,physical injury,28/01/2022,kathmandu,nepalmonitor.org
1923,minor,assault,victim,physical injury,30/01/2022,bardiya,nepalmonitor.org
1924,minor,assault,victim,physical injury,25/03/2022,mahottari,nepalmonitor.org
1925,opportunist,assault,victim,physical injury,4/4/2022,sankhuwasabha,nepalmonitor.org
1926,minor,assault,family,physical injury,7/4/2022,terhathum,nepalmonitor.org
1927,opportunist,assault,police,physical injury,12/4/2022,khotang,nepalmonitor.org
1928,gang,assault,police,physical injury,12/4/2022,surkhet,nepalmonitor.org
1929,opportunist,assault,police,physical injury,20/04/2022,udayapur,nepalmonitor.org
1930,opportunist,assault,police,physical injury,12/5/2022,bara,nepalmonitor.org
1931,opportunist,assault,police,physical injury,13/05/2022,lamjung,ekantipur.com
1932,opportunist,assault,victim,physical injury,15/05/2022,tanahu,nepalmonitor.org
1933,opportunist,assault,victim,physical injury,16/05/2022,dhanusa,inseconline.org
1934,minor,assault,police,physical injury,21/05/2022,rupandehi,nepalmonitor.org
1935,opportunist,assault,police,physical injury,21/05/2022,rupandehi,nepalmonitor.org
1936,opportunist,assault,police,physical injury,22/05/2022,tanahu,nepalmonitor.org
1937,opportunist,assault,police,physical injury,22/05/2022,kathmandu,nepalmonitor.org
1938,opportunist,assault,police,physical injury,22/05/2022,rupandehi,nepalmonitor.org
1939,minor,harassment,police,physical injury,23/05/2022,dhanusa,nepalmonitor.org
1940,opportunist,assault,police,physical injury,23/05/2022,lalitpur,inseconline.org
1941,opportunist,abuse,police,physical injury,24/05/2022,kathmandu,nepalmonitor.org
1942,opportunist,assault,parents,physical injury,24/05/2022,saptari,nepalmonitor.org
1943,opportunist,assault,victim,physical injury,25/05/2022,darchula,nepalmonitor.org
1944,minor,assault,police,physical injury,27/05/2022,khotang,ratopati.com
1945,opportunist,assault,police,physical injury,27/05/2022,bara,inseconline.org
1946,minor,assault,police,physical injury,27/05/2022,kapilvastu,ratopati.com
