District,Ethnicity code
Baitadi,CHT
Baitadi,CHT
Udayapur,DLT
Surkhet,CHT
Baglung,DLT
Kathmandu,BMN
Jhapa,OTR
Parasi,AVS
Lalitpur,AVS
Kanchanpur,AVS
Kathmandu,AVS
Sindhupalchok,CHT
Rupandehi,JNJT
Gulmi,DLT
Makwanpur,CHT
Kailali,DLT
Parasi,OTR
Parasi,OTR
Parasi,MDS
Dolpa,REG
Makwanpur,AVS
Makwanpur,BMN
Kathmandu,AVS
Kathmandu,AVS
Dang,AVS
Saptari,OTR
Ilam,AVS
Saptari,AVS
Siraha,CHT
Kanchanpur,OTR
Bardiya,JNJT
Kanchanpur,DLT
Rautahat,REG
Syangja,AVS
Siraha,MDS
Siraha,MDS
Siraha,CHT
Bhaktapur,DLT
Sunsari,MDS
Kathmandu,AVS
Bhaktapur,AVS
Solukhumbu,AVS
Lalitpur,AVS
Kailali,AVS
Salyan,OTR
Dang,OTR
Dang,AVS
Myagdi,CHT
Nawalpur,JNJT
Kailali,MDS
Siraha,MDS
Saptari,AVS
Panchthar,AVS
Kanchanpur,CHT
Parasi,MDS
Bara,MDS
Morang,BMN
Dolakha,AVS
Parasi,MDS
Morang,CHT
Salyan,JNJT
Dailekh,CHT
Bardiya,JNJT
Dhankuta,AVS
Banke,JNJT
Dailekh,REG
Chitwan,BMN
Chitwan,JNJT
Chitwan,BMN
Rautahat,MDS
Ramechhap,BMN
Saptari,MDS
Bara,BMN
Makwanpur,AVS
Mugu,JNJT
Dhading,BMN
Gulmi,JNJT
Gulmi,KAVS
Baglung,JNJT
Parsa,MDS
Kailali,OTR
Jhapa,DLT
Jajarkot,CHT
Lalitpur,AVS
Kanchanpur,AVS
Nuwakot,BMN
Nuwakot,AVS
Dang,DLT
Sindhupalchok,DLT
Mahottari,MDS
India,MDS
Saptari,REG
Rupandehi,MDS
Rupandehi,MDS
Rupandehi,MDS
Rupandehi,JNJT
Gorkha,DLT
Kathmandu,BMN
Dhanusha,AVS
Saptari,MSLM
Rautahat,REG
Gulmi,JNJT
Dhanusha,DLT
Dhanusha,REG
Rupandehi,OTR
Myagdi,REG
Bhaktapur,AVS
Kailali,AVS
Bhaktapur,AVS
Bara,MDS
Kathmandu,REG
Kailali,MDS
Kailali,MDS
Kailali,MDS
Banke,CHT
Dang,DLT
Chitwan,MDS
Udayapur,BMN
Sindhuli,DLT
Dolakha,AVS
Dang,AVS
Dang,AVS
Siraha,DLT
Dang,DLT
Kapilvastu,MSLM
Rautahat,MDS
Rautahat,MDS
Myagdi,CHT
Gulmi,AVS
Bara,MSLM
Banke,REG
Banke,BMN
Sarlahi,AVS
Bajura,DLT
Terhathum,AVS
Mugu,DLT
Jhapa,DLT
Rupandehi,CHT
Syangja,CHT
Syangja,CHT
Kailali,DLT
Kailali,DLT
Kailali,AVS
Kailali,CHT
Rupandehi,JNJT
Saptari,MDS
Rautahat,MSLM
Bardiya,JNJT
Kanchanpur,CHT
Nuwakot,BMN
Dhanusha,MDS
Morang,AVS
Udayapur,DLT
Sunsari,AVS
Dang,AVS
Saptari,MDS
Rautahat,AVS
Jhapa,AVS
Siraha,MDS
Palpa,KAVS
Rupandehi,MDS
Morang,AVS
Bhojpur,DLT
Darchula,DLT
Siraha,BMN
Dhanusha,MDS
Nuwakot,BMN
Bhaktapur,REG
Morang,AVS
Nawalpur,CHT
Rupandehi,AVS
Dang,DLT
Parsa,REG
Dhankuta,OTR
Dhankuta,AVS
Dhankuta,JNJT
Dhankuta,BMN
Kapilvastu,MDS
Morang,MDS
Sunsari,AVS
Dang,CHT
Dang,DLT
Morang,MDS
Sunsari,OTR
Rupandehi,REG
Bardiya,JNJT
Udayapur,AVS
Makwanpur,AVS
India,MDS
Kavrepalanchok,AVS
Bhaktapur,BMN
Palpa,DLT
Myagdi,MDS
Kapilvastu,DLT
Dang,AVS
Jhapa,BMN
Qatar,MSLM
Siraha,MDS
Udayapur,DLT
Parasi,MDS
Udayapur,DLT
Dang,JNJT
Parasi,MDS
Panchthar,BMN
Siraha,MDS
Siraha,MDS
Siraha,MDS
Siraha,MDS
Bhaktapur,AVS
Kapilvastu,MDS
Kailali,DLT
Kailali,JNJT
Kailali,DLT
Kailali,DLT
Nuwakot,AVS
Rupandehi,DLT
Kailali,DLT
Kailali,DLT
Kailali,DLT
Parasi,MSLM
Taplejung,AVS
Saptari,AVS
Jhapa,AVS
Kailali,CHT
Kailali,CHT
Kapilvastu,BMN
Bhaktapur,CHT
Sarlahi,AVS
Saptari,MDS
Baitadi,BMN
Kavrepalanchok,DLT
Parbat,DLT
Lalitpur,AVS
Bara,CHT
Kailali,JNJT
Rukum East,BMN
Sindhuli,DLT
Kathmandu,BMN
Kailali,AVS
Banke,KAVS
Kapilvastu,JNJT
Jhapa,AVS
Bardiya,MDS
Gulmi,DLT
Okhaldhunga,DLT
Kapilvastu,MSLM
Kapilvastu,MDS
Kanchanpur,BMN
Gulmi,BMN
Sindhupalchok,AVS
Udayapur,AVS
Bardiya,DLT
Dang,DLT
Achham,DLT
Dhanusha,MDS
Palpa,DLT
Dhading,AVS
Lalitpur,OTR
Rautahat,MSLM
